source;target
ABNA;BOFA
ABNA;PDJT
ABNA;CITI
ABNA;CITI
ABNA;CITI
ABNA;DEUT
ABNA;CHAS
ABNA;CHAS
ABNA;BOTK
ABNA;BBIJ
ABNA;KSEI
ABNA;ANTD
ABNA;BBUK
ABNA;BUMI
ABNA;CENA
ABNA;CENA
ABNA;CENA
ABNA;BNIA
ABNA;BNIA
ABNA;BNIA
ABNA;BDIN
ABNA;BDIN
ABNA;BDIN
ABNA;BDIN
ABNA;DBSB
ABNA;EKON
ABNA;BEXI
ABNA;IBBK
ABNA;IBBK
ABNA;PDJB
ABNA;BMRI
ABNA;BMRI
ABNA;MEDH
ABNA;MGAB
ABNA;CICT
ABNA;BNIN
ABNA;BNIN
ABNA;BNIN
ABNA;OCBC
ABNA;NISP
ABNA;BBBA
ABNA;BBBA
ABNA;RABO
ABNA;ROYB
ABNA;PDWU
ABNA;BBIJ
ABNA;HVBK
ABNA;PDAC
ABNA;LIPB
ABNA;PINB
ABNA;ATJS
ABNA;ARTG
ABNA;MEGA
ABNA;SUNI
ABNA;SUNI
ABNA;PDSU
ABNA;PDJG
ABNA;BRIN
ABNA;BRIN
ABNA;SCBL
ABNA;HSBC
ABNA;HSBC
ABNA;HSBC
ABNA;HSBC
AEIB;CITI
AEIB;CENA
AEIB;BNIA
AEIB;BICN
AEIB;BDIN
AEIB;BDIN
AEIB;DBSB
AEIB;IBBK
AEIB;BMRI
AEIB;CICT
AEIB;BNIN
AEIB;BNIN
AEIB;BBBA
AEIB;PINB
AEIB;PINB
AEIB;BRIN
AEIB;SCBL
AEIB;HSBC
BKKB;CENA
BKKB;BMRI
BKKB;MASD
BKKB;BNIN
BKKB;BBBA
BKKB;MCOR
BKKB;LIPB
BKKB;BRIN
BKKB;BRIN
BOFA;ABNA
BOFA;BBUK
BOFA;BNIA
BOFA;BMRI
BOFA;BNIN
BOFA;BNIN
BOFA;BRIN
BOFA;SCBL
ABAL;PDJT
ABAL;PDSB
ABAL;ANZB
ABAL;BBUK
ABAL;CENA
ABAL;CTCB
ABAL;BNIA
ABAL;BDIN
ABAL;EKON
ABAL;BMRI
ABAL;BNIN
ABAL;OCBC
ABAL;BBBA
ABAL;SIHB
ABAL;LIPB
ABAL;ATJS
ABAL;PDNB
ABAL;BRIN
PDBK;PDSB
PDBK;CITI
PDBK;CENA
PDBK;BDIN
PDBK;BDKI
PDBK;BMRI
PDBK;BNIN
PDBK;BBBA
PDBK;BSMD
PDBK;BNIN
PDBK;LIPB
PDBK;ATJS
PDBK;MUAB
PDBK;PDSU
PDBK;PDJM
PDBK;PDLP
PDBK;BRIN
PDJT;PDWR
PDJT;CITI
PDJT;BBUK
PDJT;CENA
PDJT;CENA
PDJT;BNIA
PDJT;BDIN
PDJT;BDIN
PDJT;BDIN
PDJT;IBBK
PDJT;BMRI
PDJT;BMRI
PDJT;MASD
PDJT;BNIN
PDJT;BBBA
PDJT;SWBA
PDJT;BTAN
PDJT;BBIJ
PDJT;BBIJ
PDJT;BBIJ
PDJT;CNBA
PDJT;LIPB
PDJT;ATJS
PDJT;MUAB
PDJT;TAPE
PDJT;PDML
PDJT;BRIN
PDJT;BRIN
PDJT;HSBC
PDKS;PDJT
PDKS;PDKT
PDKS;BSSP
PDKS;BBUK
PDKS;CENA
PDKS;BDIN
PDKS;PDJB
PDKS;BMRI
PDKS;BMRI
PDKS;BNIN
PDKS;BNIN
PDKS;BNIN
PDKS;BTAN
PDKS;BTAN
PDKS;BBIJ
PDKS;PINB
PDKS;ATJS
PDKS;MEGA
PDKS;MEGA
PDKS;PDKG
PDKS;BRIN
SYKS;CENA
PDKT;PDKS
PDKT;CENA
PDKT;BDIN
PDKT;BDIN
PDKT;BDIN
PDKT;EKON
PDKT;IBBK
PDKT;BMRI
PDKT;BNIN
PDKT;BNIN
PDKT;NISP
PDKT;BBBA
PDKT;BBIJ
PDKT;LIPB
PDKT;PINB
PDKT;PINB
PDKT;ATJS
PDKT;MEGA
PDKT;MUAB
PDKT;TAPE
PDKT;BRIN
PDKT;BRIN
PDNT;CENA
PDNT;BDIN
PDNT;BDIN
PDNT;BMRI
PDNT;BNIN
PDNT;LIPB
PDNT;ATJS
PDNT;BRIN
PDRI;PDSB
PDRI;BSSP
PDRI;CITI
PDRI;BBUK
PDRI;BBUK
PDRI;BUMI
PDRI;CENA
PDRI;BNIA
PDRI;BDIN
PDRI;BDIN
PDRI;EKON
PDRI;BEXI
PDRI;IBBK
PDRI;IBBK
PDRI;PDJB
PDRI;BMRI
PDRI;MEDH
PDRI;BNIN
PDRI;BNIN
PDRI;BBBA
PDRI;BSMD
PDRI;BBIJ
PDRI;PDAC
PDRI;LIPB
PDRI;PINB
PDRI;ATJS
PDRI;ARTG
PDRI;MEGA
PDRI;MEGA
PDRI;MUAB
PDRI;PDSU
PDRI;SYRI
PDRI;BRIN
SYWS;PDJT
SYWS;PDKS
SYWS;PDNT
SYWS;PDWR
SYWS;PDSB
SYWS;CENA
SYWS;CENA
SYWS;BDIN
SYWS;BDIN
SYWS;BDKI
SYWS;EKON
SYWS;IBBK
SYWS;PDJB
SYWS;BMRI
SYWS;BMRI
SYWS;BMRI
SYWS;BNIN
SYWS;BTAN
SYWS;BBIJ
SYWS;SYWS
SYWS;ATJS
SYWS;PDSU
SYWS;PDSU
SYWS;BRIN
PDWR;SYWS
PDWR;BDIN
PDWR;IBBK
PDWR;BMRI
PDWR;BMRI
PDWR;BNIN
PDWR;BBBA
PDWR;PINB
PDWR;ATJS
PDWR;MUAB
PDWR;BRIN
PDWR;BRIN
PDSB;ABNA
PDSB;PDRI
PDSB;BSSP
PDSB;CITI
PDSB;DEUT
PDSB;BBIJ
PDSB;BBUK
PDSB;BUMI
PDSB;CENA
PDSB;BICN
PDSB;BDIN
PDSB;BDIN
PDSB;BDIN
PDSB;BEXI
PDSB;IBBK
PDSB;KSEB
PDSB;BMRI
PDSB;BNIN
PDSB;OCBC
PDSB;RABO
PDSB;BSMD
PDSB;BBIJ
PDSB;LIPB
PDSB;PINB
PDSB;PINB
PDSB;ATJS
PDSB;BRIN
PDSB;HSBC
BSSP;PDBK
BSSP;PDSB
BSSP;PDYK
BSSP;BNPA
BSSP;BBUK
BSSP;CENA
BSSP;CENA
BSSP;BNIA
BSSP;BNIA
BSSP;BDIN
BSSP;BDKI
BSSP;EKON
BSSP;BMRI
BSSP;BMRI
BSSP;CICT
BSSP;BNIN
BSSP;BNIN
BSSP;NISP
BSSP;BBBA
BSSP;SYBR
BSSP;BSMD
BSSP;BTAN
BSSP;BBIJ
BSSP;BNIN
BSSP;LIPB
BSSP;PINB
BSSP;ATJS
BSSP;MEGA
BSSP;MUAB
BSSP;TAPE
BSSP;PDJG
BSSP;PDLP
BSSP;BRIN
BSSP;BRIN
PDYK;PDSB
PDYK;CENA
PDYK;BNIA
PDYK;BNIA
PDYK;BDKI
PDYK;IBBK
PDYK;BMRI
PDYK;BMRI
PDYK;BNIN
PDYK;NISP
PDYK;BBBA
PDYK;BBIJ
PDYK;LIPB
PDYK;ATJS
PDYK;PDJG
PDYK;PDKG
PDYK;PDIJ
PDYK;BRIN
CITI;ABNA
CITI;ABNA
CITI;AEIB
CITI;AEIB
CITI;BOFA
CITI;PDJT
CITI;PDRI
CITI;DEUT
CITI;DEUT
CITI;CHAS
CITI;CHAS
CITI;CHAS
CITI;BOTK
CITI;ANZB
CITI;ANZB
CITI;AGTB
CITI;BNPA
CITI;BBUK
CITI;BUMI
CITI;BUMI
CITI;CENA
CITI;CENA
CITI;CTCB
CITI;BNIA
CITI;BNIA
CITI;BNIA
CITI;BICN
CITI;BICN
CITI;BICN
CITI;BDIN
CITI;BDIN
CITI;BDIN
CITI;DBSB
CITI;DBSB
CITI;DBSB
CITI;BDKI
CITI;EKON
CITI;HMOB
CITI;BSDR
CITI;INPB
CITI;IBBK
CITI;PDJB
CITI;PDJB
CITI;JSAB
CITI;KOEX
CITI;AWAN
CITI;BMRI
CITI;BMRI
CITI;MEDH
CITI;MEEK
CITI;CICT
CITI;BNIN
CITI;BNIN
CITI;OCBC
CITI;NISP
CITI;NISP
CITI;BBBA
CITI;BBBA
CITI;RABO
CITI;SITB
CITI;SWBA
CITI;SDOB
CITI;BSMD
CITI;BBIJ
CITI;MCOR
CITI;YUDB
CITI;PDAC
CITI;HAGA
CITI;LIPB
CITI;LIPB
CITI;LIPB
CITI;LIPB
CITI;PINB
CITI;PINB
CITI;ARTG
CITI;BBUK
CITI;MEGA
CITI;MUAB
CITI;MUAB
CITI;SUNI
CITI;PDSU
CITI;PDJM
CITI;PDML
CITI;BRIN
CITI;SCBL
CITI;SCBL
CITI;SCBL
CITI;SCBL
CITI;HSBC
CITI;HSBC
CITI;HSBC
DEUT;ABNA
DEUT;ABNA
DEUT;ABNA
DEUT;AEIB
DEUT;BKKB
DEUT;PDSB
DEUT;BSSP
DEUT;CITI
DEUT;CITI
DEUT;CHAS
DEUT;CHAS
DEUT;CHAS
DEUT;BOTK
DEUT;BOTK
DEUT;BBIJ
DEUT;ANZB
DEUT;ARNK
DEUT;BARC
DEUT;BBAI
DEUT;BUMI
DEUT;CENA
DEUT;CENA
DEUT;CENA
DEUT;BNIA
DEUT;BICN
DEUT;BDIN
DEUT;BDIN
DEUT;DBSB
DEUT;DBSB
DEUT;BDKI
DEUT;EKON
DEUT;BSDR
DEUT;IBBK
DEUT;PDJB
DEUT;JSAB
DEUT;AWAN
DEUT;BMRI
DEUT;MEDH
DEUT;CICT
DEUT;BNIN
DEUT;NISP
DEUT;BBBA
DEUT;BBBA
DEUT;BPIA
DEUT;IDMO
DEUT;BSMD
DEUT;BBIJ
DEUT;BBIJ
DEUT;MCOR
DEUT;MCOR
DEUT;BDIP
DEUT;LIPB
DEUT;LIPB
DEUT;PINB
DEUT;PINB
DEUT;SYDK
DEUT;MEGA
DEUT;MEGA
DEUT;MUAB
DEUT;BRIN
DEUT;BRIN
DEUT;SCBL
DEUT;SCBL
DEUT;SCBL
DEUT;SCBL
DEUT;HSBC
DEUT;HSBC
SYHS;CENA
SYHS;BNIA
SYHS;LIPB
SYHS;HSBC
BKCH;BMRI
BKCH;BRIN
CHAS;BKKB
CHAS;CITI
CHAS;CITI
CHAS;DEUT
CHAS;DEUT
CHAS;BKCH
CHAS;BOTK
CHAS;BBIJ
CHAS;BNPA
CHAS;BBUK
CHAS;CENA
CHAS;CENA
CHAS;BNIA
CHAS;BDIN
CHAS;BDIN
CHAS;BDIN
CHAS;EKON
CHAS;EKON
CHAS;IBBK
CHAS;IBBK
CHAS;KOEX
CHAS;BMRI
CHAS;MEDH
CHAS;BNIN
CHAS;BNIN
CHAS;NUPA
CHAS;NISP
CHAS;BBBA
CHAS;BBBA
CHAS;ROYB
CHAS;BSMD
CHAS;BTAN
